id	name	type	min	max	description
1179	Customs Entry Type Group Code	ID	1	1	Code identifying a group of entry types as filed with U.S. Customs when goods enter the country
1180	Resource Code (or Identifier)	AN	1	20	To identify a resource code or identifier (such as a specific skill, department, or material)
1181	Resource Type	ID	2	2	Code identifying the type of allocation or resource being scheduled
1185	Public Record or Obligation Code	ID	2	2	Code defining the nature of public record or civil action obligation
1186	Type of Income Code	ID	2	2	Code defining the nature or source of income
1187	Type of Account Code	ID	2	2	Code defining the type of ownership
1188	Type of Personal or Business Asset Code	ID	2	2	Code defining the nature of personal or business property or asset
1189	Type of Credit Account Code	ID	1	1	Code defining the type of credit account
1193	Program Type Code	ID	2	2	Codes identifying a program type
1195	Financial Information Code	AN	1	80	Code representing financial accounting information
1196	Breakdown Structure Detail Code	ID	2	2	Codes identifying details relating to a reporting breakdown structure tree
1197	Financial Transaction Status Code	ID	1	2	Code indicating the status of the transaction
1198	Contracting Funding Code	ID	2	2	Code identifying the funding type
1199	Appropriation Code	ID	2	2	Code indicating the funds appropriation
1201	Information Status Code	ID	1	1	A code to indicate the status of information
1202	Flexible Spending Account Selection Code	ID	1	1	Code indicating selection of a type of Flexible Spending Account
1203	Maintenance Reason Code	ID	2	3	Code identifying the reason for the maintenance change
1204	Plan Coverage Description	AN	1	50	A description or number that identifies the plan or coverage
1205	Insurance Line Code	ID	2	3	Code identifying a group of insurance products
1207	Coverage Level Code	ID	3	3	Code indicating the level of coverage being provided for this insured
1209	Underwriting Decision Code	ID	1	1	Code indicating the decision made by the underwriter
1211	Drug House Code	ID	2	3	Code indicating a drug house with which the insurance plan is affiliated
1212	Health-Related Code	ID	1	1	Code indicating a specific health situation
1213	Current Health Condition Code	ID	1	1	Code indicating current health condition of the individual
1214	Salary Grade	AN	1	5	The salary grade code assigned by the employer
1215	Identification Card Type Code	ID	1	1	Code identifying the type of identification card
1216	Benefit Status Code	ID	1	1	The type of coverage under which benefits are paid
1218	Medicare Plan Code	ID	1	1	Code identifying the Medicare Plan
1219	Consolidated Omnibus Budget Reconciliation Act (COBRA) Qualifying Event Code	ID	1	2	A Qualifying Event is any of the following which results in loss of coverage for a Qualified Beneficiary
1220	Student Status Code	ID	1	1	Code indicating the student status of the patient if 19 years of age or older, not handicapped and not the insured
1221	Provider Code	ID	1	3	Code identifying the type of provider
1222	Provider Specialty Code	AN	1	3	Code indicating the primary specialty of the provider, as defined by the receiver
1223	Provider Organization Code	ID	3	3	Code identifying the organizational structure of a provider
1224	Contribution Code	ID	2	2	Code indicating the category of contribution
1225	Disposition Code	AN	3	3	Code specifying the disposition of removed part, subassembly, or assembly
1226	Repair Action Code	AN	1	4	Code specifying if the required action is to repair or scrap, etc.; it also can be used to specify the particular type of repair task
1227	Repair Complexity Code	AN	1	3	Code identifying the complexity of the repair
1228	Casual Part Condition Code	AN	1	3	Code describing the condition of the part or assembly that is the root cause of the problem being reported or repaired
1229	Complaint Code	AN	3	6	Code identifying the basic reasons why this item is being repaired
1230	Type of Product Service Code	ID	2	4	Code specifying the type of product service contract or the basis of the product service claim
1231	Operation Environment Code	AN	2	3	Code identifying the conditions under which this product will be used or the operating application of the product
1232	Purchase Category	ID	2	2	Code identifying the broad category of products or services being acquired
1233	Service Classification Code	AN	1	4	Code specifying uniformly categorize reasons for service actions or changes made to products, assemblies, sub-assemblies, parts or processes
1234	Severity Condition Code	AN	1	2	Code specifying the severity or urgency of the condition causing a repair, a service notification, or a product recall
1236	Payment Type Code	ID	2	2	Code identifying type of payment information
1237	Move Type Code	ID	1	1	Code identifying type of move performed by the carrier
1238	Bay Type Code	ID	1	1	Code identifying type of vehicle parking pattern
1239	Capacity Qualifier	ID	2	2	Code indicating the method of determining vehicle storage facility capacity
1240	Facility Characteristic Code	ID	1	2	Code indicating characteristics of a vehicle shipping facility as qualified by DE 1241
1241	Facility Characteristic Code Qualifier	ID	1	1	Code specifying type of facility characteristic
1242	Demand Area	AN	3	3	Demographic sales area
1243	Financial Status	AN	3	3	Current credit condition of consignee
1244	National Motor Freight Transportation Association Location Name	AN	2	27	Code identifying city or location names as established by the National Motor Freight Transportation Association
1245	Vehicle Identification Number (VIN) Plant Code	ID	1	1	Code identifying assemble plant which manufactured a motor vehicle
1246	Special Rate Code	ID	1	2	Code identifying rate with special applications or restrictions
1250	Date Time Period Format Qualifier	ID	2	3	Code indicating the date format, time format, or date and time format
1251	Date Time Period	AN	1	35	Expression of a date, a time, or range of dates, times or dates and times
1252	Health Screening Type Code	ID	3	6	Codes indicating the type of health screening conducted for a person
1253	Immunization Type Code	ID	3	6	The type of immunization a person received
1254	Immunization Status Code	ID	1	2	Code indicating the status of an immunization conducted on a person
1255	Disease Condition Type Code	ID	3	6	Code used to indicate the disease had by or the condition of a person
1256	Medical Treatment Type Code	ID	5	5	Code indicating the treatment activity related to a health condition of a person
1257	Special Program Category Code	ID	1	2	The type of special education program in which a student is involved
1258	Academic Grade	AN	1	3	This indicates the grade that a student received for participation in an academic course
1260	Reported Data ID Code	AN	1	6	Code identifying specific government reporting requirements
1261	Reported Data Response	AN	1	10	This element contains a condition or response
1262	Loan Type Code	ID	1	2	This code identifies the loan program or type
1264	Delayed Repayment Reason Code	ID	1	2	Code identifying the reason for delayed repayment on a student loan
1265	Interest Payment Code	ID	1	2	Code identifying the method of interest payment
1266	Major Course of Study	ID	1	2	Code indicating the student's major course of study
1267	Dependency Status Code	ID	1	1	Code indicating the dependency status of the student
1268	Applicant Type Code	ID	1	1	Code indicating the type of applicant
1270	Code List Qualifier Code	ID	1	3	Code identifying a specific industry code list
1271	Industry Code	AN	1	30	Code indicating a code from a specific industry code list
1272	Horsepower	N0	1	16	Total horsepower for all engines in train
1273	Direction Facing	ID	1	1	Indicates the direction of the locomotive
1274	Train Delay Reason Code	AN	2	2	Code specifying reason for train delay
1275	Fumigated/Cleaned Indicator	ID	1	1	Code indicating whether product has been fumigated and/or cleaned
1276	Machine Separable Indicator Code	ID	2	2	Canadian Grain Commission grain code identifying the type of grain that must be separated
1277	Canadian Wheat Board (CWB) Marketing Class Code	ID	1	1	Code identifying the Canadian Wheat Board market class of the grain
1278	Canadian Wheat Board (CWB) Marketing Class Type Code	ID	1	1	Code identifying Canadian Wheat Board market class type
1280	Direction Identifier Code	ID	1	1	Code identifying geographic direction
1292	Returns Disposition Code	ID	2	2	Code indicating the disposition of a contested item
1293	Return Request Reason Code	ID	2	2	Code indicating the reason for the return from the party returning, or requesting to return, the items
1294	Return Response Reason Code	ID	2	2	Code indicating the response to a request to return items
1295	Participant Status Code	ID	1	2	Code indicating the status of an individual in a benefit plan
1296	Special Processing Type	AN	1	6	Type of special processing that is required
1297	Work Status Code	ID	1	2	Code indicating the status for a work task
1300	Service, Promotion, Allowance, or Charge Code	ID	4	4	Code identifying the service, promotion, allowance, or charge
1301	Agency Service, Promotion, Allowance, or Charge Code	AN	1	10	Agency maintained code identifying the service, promotion, allowance, or charge
1302	Shipper's Export Declaration Requirements	AN	1	2	Code identifying which Shipper's Export Declaration (SED) requirements are being met
1303	Use of Language Indicator	ID	1	2	Code indicating the use of a language
1304	Mark Code Type	ID	1	2	Code identifying the type of mark that was awarded
1306	U.S. Government License Type	AN	1	1	Code to identify the type of government license involved
1307	Loan Status Code	ID	1	2	Code indicating the loan status
1308	Contract Action Code	ID	2	2	Code identifying the expected resultant type of contract action or current type of contract action
1309	Acquisition Data Code	ID	2	2	Code identifying acquisition data
1310	Financing Type Code	ID	1	1	Code identifying the type of contract financing required by the submitter of a pricing proposal
1311	Calculation Operation Code	ID	1	1	Code identifying what type of calculation will take place
1312	Test Period or Interval Qualifier	ID	2	2	Code indicating the type of period or interval as related to when a test event occurs
1313	Test Period or Interval Value	N0	1	6	Numeric value of period or interval signifying when a test event occurs
1314	Admission Source Code	ID	1	1	Code indicating the source of this admission
1315	Admission Type Code	ID	1	1	Code indicating the priority of this admission
1316	Ambulance Transport Code	ID	1	1	Code indicating the type of ambulance transport
1317	Ambulance Transport Reason Code	ID	1	1	Code indicating the reason for ambulance transport
1318	Approval Code	ID	1	1	Code specifying the determination arrived at by the Utilization Review Committee or Peer Review Organization (PRO)
1319	Basis of Cost Determination Code	ID	1	2	Code indicating the method by which the ingredient cost was calculated
1320	Basis of Days Supply Determination Code	ID	1	1	Code indicating the method by which the days supply was determined
1321	Condition Indicator	ID	2	2	Code indicating a condition
1322	Certification Type Code	ID	1	1	Code indicating the type of certification
1325	Claim Frequency Type Code	ID	1	1	Code specifying the frequency of the claim; this is the third position of the Uniform Billing Claim Form Bill Type
1327	Copay Status Code	ID	1	1	Code indicating whether or not co-payment requirements were met on a line by line basis
1328	Diagnosis Code Pointer	N0	1	2	A pointer to the claim diagnosis code in the order of importance to this service
1329	Dispense as Written Code	ID	1	1	Code indicating whether or not the prescriber's instructions regarding generic substitution were followed
1330	Dosage Form Code	ID	2	2	Code indicating the form in which the drug is dispensed
1331	Facility Code Value	AN	1	2	Code identifying the type of facility where services were performed; the first and second positions of the Uniform Bill Type code or the Place of Service code from the Electronic Media Claims National Standard Format
1332	Facility Code Qualifier	ID	1	2	Code identifying the type of facility referenced
1333	Record Format Code	ID	1	2	Code specifying the format of information
1334	Health Care Professional Shortage Area Code	ID	1	1	Code identifying the Health Care Professional Shortage Area Code (HPSA)
1335	Insulin Dependent Code	ID	1	1	Code indicating the condition that demonstrates insulin dependence
1336	Insurance Type Code	ID	1	3	Code identifying the type of insurance policy within a specific insurance program
1337	Level of Care Code	ID	1	1	Code specifying the level of care provided by a nursing home facility
1338	Level of Service Code	ID	1	3	Code specifying the level of service rendered
1339	Procedure Modifier	AN	2	2	This identifies special circumstances related to the performance of the service, as defined by trading partners
1340	Multiple Procedure Code	ID	1	2	Code indicating proper adjudication and payment determination in cases involving multiple surgical procedures during the same surgical session
1341	National or Local Assigned Review Value	AN	1	2	Value assigned by national or local organizations for various healthcare data elements
1342	Nature of Condition Code	ID	1	1	Code indicating the nature of a patient's condition
1343	Non-Institutional Claim Type Code	ID	1	2	Code identifying the type of provider or claim
1344	Non-Visit Code	ID	1	1	Code indicating on what a medical evaluation is based, when not based on a physician's visit
1345	Nursing Home Residential Status Code	ID	1	1	Code specifying the status of a nursing home resident at the time of service
1346	Nutrient Administration Method Code	ID	1	1	Code indicating the method used to administer nutrient to a patient
1347	Nutrient Administration Technique Code	ID	1	1	Code indicating the technique used to administer nutrient to a patient
1348	Oxygen Equipment Type Code	ID	1	1	Code indicating the specific type of equipment being prescribed for the delivery of oxygen
1349	Oxygen Test Condition Code	ID	1	1	Code indicating the conditions under which a patient was tested
1350	Oxygen Test Findings Code	ID	1	1	Code indicating the findings of oxygen tests performed on a patient
1351	Patient Signature Source Code	ID	1	1	Code indicating how the patient or subscriber authorization signatures were obtained and how they are being retained by the provider
1352	Patient Status Code	ID	1	2	Code indicating patient status as of the statement covers through date
1354	Diagnosis Related Group (DRG) Code	ID	1	4	Code indicating a patient's diagnosis group based on a patient's illness, diseases, and medical problems
1355	Prescription Denial Override Code	ID	2	2	Code indicating that a pharmacist has overridden the denial of a prescription
1356	Prescription Origin Code	ID	1	1	Code indicating the origin of a prescription
1357	Prior Authorization Type Code	ID	1	1	Code indicating the type of prior authorization or medical certification that has occurred
1358	Prosthesis, Crown or Inlay Code	ID	1	1	Code specifying the placement status for the dental work
1359	Provider Accept Assignment Code	ID	1	1	Code indicating whether the provider accepts assignment
1360	Provider Agreement Code	ID	1	1	Code indicating the type of agreement under which the provider is submitting this claim
1361	Oral Cavity Designation Code	ID	1	3	Code Identifying the area of the oral cavity in which service is rendered
1362	Related-Causes Code	ID	2	3	Code identifying an accompanying cause of an illness, injury or an accident
1363	Release of Information Code	ID	1	1	Code indicating whether the provider has on file a signed statement by the patient authorizing the release of medical data to other organizations
1364	Review Code	ID	1	2	Code identifying extenuating circumstances or justifications which might assist any review of the medical necessity for this service
1365	Service Type Code	ID	1	2	Code identifying the classification of service
1366	Special Program Code	ID	2	3	Code indicating the Special Program under which the services rendered to the patient were performed
1367	Subluxation Level Code	ID	2	3	Code identifying the specific level of subluxation
1368	Tooth Status Code	ID	1	2	Code specifying the status of the tooth
1369	Tooth Surface Code	ID	1	2	Code identifying the area of the tooth that was treated
1370	Unit Dose Code	ID	1	1	Code indicating the type of unit dose dispensing done
1371	Unit Rate	R	1	10	The rate per unit of associate revenue for hospital accommodation
1373	Measurement Method or Device	ID	2	4	The method or device used to record the measurement
1374	Payment Adjustment Code	ID	1	1	Code identifying the nature of the payment adjustment
1375	Interim Hazardous Material Regulatory Number	AN	1	5	Identifies the current regulatory version number used for hazardous materials shipments
1376	Investor Reporting Action Code	ID	2	2	Code identifying the type of investor reporting action that was needed
1378	Waybill Cross-Reference Code	ID	2	2	Code to cross-reference the type of revenue waybill to a previously submitted waybill
1379	Loan Verification Code	ID	1	2	Code indicating the loan verification confirmation or exception reason
1382	Oxygen Delivery System Code	ID	1	1	Code to indicate if a particular form of delivery was prescribed
1383	Claim Submission Reason Code	ID	2	2	Code identifying reason for claim submission
1384	Patient Location Code	ID	1	1	Code identifying the location where patient is receiving medical treatment
1387	Rate Qualifier	ID	1	2	Code indicating the type of interest rate
1390	Eligibility or Benefit Information	ID	1	2	Code identifying eligibility or benefit information
1392	Market Profile	AN	1	8	Indicates a specific market group
1393	Media Type Identifier	ID	2	2	Identifies a specific media type
1395	Configuration Type Code	ID	1	1	Code defining how information is being grouped or arrayed
1396	Equipment Use Code	ID	1	1	Code defining how the equipment is to be used
1397	Inquiry Response Code	ID	1	2	Code indicating type of response action for Customer Information Inquiries
1398	Inquiry Selection Code	ID	1	1	Code indicating what the requestor wants included or excluded from the response to an inquiry
1400	Hierarchy Code	AN	2	2	Code identifying the level an entity holds in the hierarchy of a corporate family
1401	Proposal Data Detail Identifier Code	ID	1	3	Code identifying the basis of a cited value in a proposal
1402	Equipment Attribute Code	ID	2	3	Code specifying attributes of a piece of equipment
1403	Implant Type Code	ID	1	1	Code identifying implant components
1404	Implant Status Code	ID	1	1	Code identifying the status of implant components
1407	Investor Ownership Type Code	ID	1	2	Code identifying the type of ownership for a loan
1408	Remittance Type Code	ID	2	2	Code identifying the type of remittance
1413	Usage Indicator	ID	1	1	Designates whether the achievement or characteristic being described is a requirement, an attribute, or a proficiency
1415	Specimen Kit Type Code	ID	1	4	Code specifying the specimen kit type or contents used for collecting and forwarding samples used in the tests being reported
1420	Title Insurance Services Code	ID	2	2	Code identifying the title insurance services
1422	Damage Status Code	ID	2	2	Code indicating the condition of the damage at the time of the report
1423	License Plate Type	ID	2	2	Code identifying the type of license
1425	Recovery Classification Code	ID	1	2	Code specifying an item's recovery classification
1426	Recovery Condition Code	ID	1	2	Code identifying the condition or state of the recovered item
1428	Master In-bond Type Code	ID	1	1	Code identifying a type of Master In-bond
1429	Construction Type	ID	1	2	Contains the primary construction material
1430	Day Rotation	AN	1	7	Days of week expressed in a seven-day rotation period starting with Monday = 1; a Monday - Friday would be shown as (12345)
1431	Preference	ID	1	1	Code specifying sender's preference
1432	Business Purpose of Assurance	ID	3	3	The stated business purpose for appending the assurance to an existing secured-entity (whether functional group or transaction set); the codes represent the intention of the business or application that has control over the assurance originator
1434	Domain of Computation of Assurance	ID	1	2	Code specifying the bounds of the text, whether contiguous or not, over which the computation of the Assurance Token is computed using the defined methodology of computation and any relevant Assurance Token parameters The body is defined as a transaction set, beginning with the first byte of the segment immediately following the ST segment terminator and including all segments up to but not including the S in the first SVA segment; DO NOT include any S4A segments The body can also be defined as a functional group, beginning with the first byte of the segment immediately following the GS segment terminator and including all transaction sets up to but not including the S in the first SVA segment at the functional group level; DO NOT include any S3A segments This Assurance is defined as from the S in S3A or S4A up to and including the segment terminator of that segment Previous Assurance(s) is defined as including the entire S3A or S4A segment and the entire corresponding SVA segment that is associated with the S3A or S4A at the same level
1435	Assurance Originator	AN	1	64	Unique designation (identity) of the cryptographic process that performs the stated assurance on data to be interchanged Note: X9 has a required minimum length of 4 characters for a security originator; no mechanism, or registration method, is provided by X9 or X12 to guarantee uniqueness of the identifier Note: X9 has a required minimum length of 4 characters for a security originator; no mechanism, or registration method, is provided by X9 or X12 to guarantee uniqueness of the identifier
1436	Assurance Recipient	AN	1	64	Unique designation (identity) of the cryptographic process that performs validation of the stated assurance on received data. In the absence of an Assurance Recipient all potential receivers will often be able to validate the assurance because the cryptographic technique is based on a public (as opposed to secret) technology Note: X9 has required minimum length of 4 characters for a security recipient; no mechanism, or registration method, is provided by X9 or X12 to guarantee uniqueness of the identifier Note: X9 has required minimum length of 4 characters for a security recipient; no mechanism, or registration method, is provided by X9 or X12 to guarantee uniqueness of the identifier
1437	Date/Time Reference	AN	17	25	Date/time stamp in format as follows: YYYYMMDDHHNNSSTTTZZZ+XXXX, where YYYY = 4 digit year (with leading century), MM = month of year (01..12), DD = day of month (01..31), HH = hour of day in 24-hour format (00..23), NN = minutes of the hour (00-59), SS = second of hour (00..59), TTT = [optional] milli-seconds (000..999), ZZZ = [optional] three character, nominal timezone indicator (including daylight savings time indicator) and XXXXX = 3-5 digit (including leading + or - sign) offset of time to universal time, with three position format indicating hours-offset for whole hours, and five position format indicating hours and minutes offset where this is necessary. For example: 1993061522133OCDT+0930 which represents 15 June 1993, 22:13 (10:13pm), Central Daylight Time (Nominal Value CDT), in a timezone that is offset + 9:30 from Universal Time (Australia) YYYYMMDDHHNNSSTTTZZZ+XXXX, where YYYY = 4 digit year (with leading century), MM = month of year (01..12), DD = day of month (01..31), HH = hour of day in 24-hour format (00..23), NN = minutes of the hour (00-59), SS = second of hour (00..59), TTT = [optional] milli-seconds (000..999), ZZZ = [optional] three character, nominal timezone indicator (including daylight savings time indicator) and XXXXX = 3-5 digit (including leading + or - sign) offset of time to universal time, with three position format indicating hours-offset for whole hours, and five position format indicating hours and minutes offset where this is necessary. For example: 1993061522133OCDT+0930 which represents 15 June 1993, 22:13 (10:13pm), Central Daylight Time (Nominal Value CDT), in a timezone that is offset + 9:30 from Universal Time (Australia) 1993061522133OCDT+0930 which represents 15 June 1993, 22:13 (10:13pm), Central Daylight Time (Nominal Value CDT), in a timezone that is offset + 9:30 from Universal Time (Australia)
1438	Assurance Text	AN	1	64	Any text needed to convey the name of a signatory, registration number, certification number, or other assurance-originator defined or mutually-agreed business text related to the specific assurance; this text is not defined for X12 purposes and thus functions technically as free form text though it may have structure that is defined by the assurance originator, an industry group, a governmental agency, or bi-laterally between assurance originator and assurance recipient
1439	Assurance Token Parameter Code	ID	2	2	A code specifying the type of Assurance Token Parameter
1440	Assurance Digest	AN	1	512	The result of the application of the hash defined in the methodology expressed in ASCII-hex notation
1442	Assurance Token Parameter Value	AN	1	64	A value of a parameter, usually specifying one or more options, required for the proper operation of the cryptographic algorithm used to compute the Assurance Token; depending on the algorithm used, one or more values may be required
1443	Assurance Reference Number	AN	1	35	Alphanumeric reference number issued by security assurance originator for the particular assurance in which it occurs; unique when used in combination with security originator data element
1460	Part of Body Code	ID	2	2	Code identifying the part of body
1465	Proximity Code	ID	2	2	Code identifying proximity
1466	Location Type Code	ID	2	2	Code identifying a type of location
1468	Reason Stopped Work Code	ID	2	2	Code identifying reason claimant stopped working
1469	Affected Area or Section Code	ID	1	1	Code indicating the area or areas affected by a change or changes
1470	Number	N0	1	9	A generic number
1472	Report Section Number	AN	1	15	Number identifying a specified section or subsection of a report
1473	Pricing Methodology	ID	2	2	Code specifying pricing methodology at which the claim or line item has been priced or repriced
1476	Language Proficiency Indicator	ID	1	1	Code indicating language proficiency
1482	Mechanical Car Code	ID	4	4	Association of American Railroads Mechanical Car Code
1484	Problem Log Reason Code	ID	2	2	Code indicating the reason a problem log was created
1485	Service Commitment Type Code	ID	1	1	Code identifying the type of service commitment
1487	Retrip Reason Code	ID	2	2	Code identifying the reason a trip has been revised
1488	Bad Order Reason Code	ID	1	1	Code indicating the reason equipment has been designated as a bad order
1489	Hold Reason Code	ID	2	2	Code indicating the reason equipment has been detained
1490	Association of American Railroads Car Grade Code	ID	1	1	Code indicating the mechanical condition of a rail car
1491	Parameter Trace Registration Type Code	ID	1	1	Code identifying the type and handling of a Parameter Trace Registration
1492	Parameter Trace Type Code	ID	1	1	Code indicating the type of parameter tracing desired
1493	Output Event Selection Code	ID	1	1	Code indicating the type of output events
1494	Transportation Condition Code	ID	1	1	Code indicating handling restrictions and empty disposition instructions for railroad freight equipment
1495	Query Type Code	ID	1	1	Code indicating what information is provided in a query request
1496	Property Description Qualifier	ID	2	2	Type of reference or number used to describe real property
1497	Notification Entity Qualifier	AN	1	2	Code indicating type of notifications
1499	Rate Application Code	ID	2	2	Code identifying the location at which the tax rate is applied
1511	Type of Deduction	ID	2	2	Code specifying type of deduction being withheld from an employee's pay
1514	Delay Reason Code	ID	1	2	Code indicating the reason why a request was delayed
1520	Display Type Code	ID	1	2	Code indicating the type of displays
1521	Marketing Type Code	ID	1	2	Code indicating the type of marketing devices or programs
1522	Coupon Type Code	ID	1	2	Code indicating the type of coupon
1523	Labor Activity Code	ID	1	2	Code indicating a type of labor activity
1524	Benefit Modifier	ID	1	2	Code describing the benefit
1525	Request Category Code	ID	1	2	Code indicating a type of request
1526	Policy Compliance Code	ID	1	2	Code specifying policy compliance
1527	Exception Code	ID	1	2	Code specifying the exception reason for consideration of out-of-network health care services
1528	Component Data Element Position in Composite	N0	1	2	To identify the component data element position within the composite that is in error
1540	Net Cost Code	ID	1	2	Code indicating the net cost formula
1543	Equipment Orientation Code	ID	1	1	Code indicating the direction the equipment is entrained
1546	Preferential Duty Criteria Code	ID	1	2	Code indicating the rule that was used to claim duty preference
1549	Convertibility Rate Type Code	ID	1	2	Code indicating the type of rate used in a convertibility option
1550	Index Qualifier	ID	1	2	Code identifying an index
1551	Message Text	AN	1	4096	To transmit large volumes of message text
1552	Option Type Code	ID	1	2	Code indicating the type of option provided
1553	License Type Code	ID	2	2	Code specifying the type of license
1554	Tag Status Code	ID	1	1	Code indicating the status of an Automatic Equipment Identification Tag
1555	Automatic Equipment Identification Consist Confidence Level Code	ID	1	1	Code indicating the confidence level of the information being passed by an automatic equipment identification reader
1556	Train Termination Status Code	ID	1	1	Code indicating the train termination status
1557	Movement Type Code	ID	1	1	Code indicating the type of movement at the automatic equipment identification reader site
1558	Academic Summary Source	ID	1	1	Code used to indicate the source of the summary data
1559	Automatic Equipment Identification Site Status Code	ID	1	1	Code indicating the site status of the automatic equipment identification reader
1560	Interchange Type Code	ID	1	1	Code indicating the type of description being used in the Junction Master
1561	Rail Junction Settlement Role Code	ID	1	1	Code indicating carrier's junction settlement role
1564	Protocol ID	ID	3	3	Code specifying protocol used to encrypt the session key
1565	Look-up Value	AN	1	4096	Value used to identify a certificate containing a public key
1566	Keying Material	AN	1	512	Additional material required for decrypting the one-time key
1567	One-time Encryption Key	AN	1	512	Hexadecimally filtered encrypted one-time key
1568	Algorithm ID	ID	3	3	Algorithm used for Encryption
1569	Algorithm Mode of Operation	ID	3	3	Mode of Operation of the Encryption Algorithm
1570	Filter ID Code	ID	3	3	Code specifying the type of filter used to convert data code values
1571	Compression ID	ID	3	3	Type of Compression Used
1572	Security Value Qualifier	ID	3	3	Type of Security Value
1573	Encoded Security Value	AN	1	10000000000000000	Encoded representation of the Security Value specified by the Security Value Qualifier
1574	Assurance Algorithm	ID	3	3	Code specifying the algorithm used to compute the assurance token
1575	Hashing Algorithm	ID	3	3	Code specifying the algorithm used to compute the assurance digest
1576	Inspected/Weighed Indicator Code	ID	1	2	Code indicating whether product has been inspected and/or weighed
1577	Hazardous Material Regulations Exception Code	ID	1	1	Code indicating if an exception exists for a finished good from the shipping requirements of the hazardous material regulations and what that exception is
1578	Export Exception Code	ID	2	2	Code specifying why a Shipper's Export Declaration (SED) is not required
1579	Accrual Rate Method Code	ID	1	1	Code identifying the method of interest accrual
1585	Shape Code	ID	1	2	Code indicating the shape of an object
1588	Political Party Affiliation Code	ID	2	2	Code identifying a political party affiliation
1589	Harbor Maintenance Fee (HMF) Exemption Code	AN	1	2	Code specifying the reason a commodity is exempt from Harbor Maintenance Fees
1590	Asset Liability Type Code	ID	2	2	Code specifying the type of financial statement item
1591	Type of Activity Code	ID	2	2	Code specifying the type of activity
1592	Type of Rating Code	ID	2	2	Code specifying the level of participation
1594	Controlled Substance Type Code	ID	2	2	Code specifying the type of controlled substance
1595	Government Service Affiliation Code	ID	1	1	Code specifying the government service affiliation
1596	Military Service Rank Code	ID	2	2	Code specifying the military service rank
1599	Hazardous Vehicle Type Code	ID	2	2	Code specifying the type of hazardous vehicle
1600	Freight Rate Qualifier	ID	2	2	Code qualifying the Bill of Lading freight rate
1601	Rated-as Qualifier	ID	2	2	Code identifying the type of quantity on which the rate is based
1602	Bill of Lading Charge Code	ID	3	3	Code identifying the type of Bill of Lading charge
1603	Route of Administration	AN	1	20	Description of how the test substance was administered to the animals (e.g., diet, oral, gavage, dermal, etc.)
1606	Animal Disposition Code	ID	2	2	Code identifying the disposition of an animal
1607	Test Type Code	ID	2	2	Code identifying the type of test performed for which measured results will be reported
1608	Non-Numeric Test Value	AN	1	30	Identifies a non-numeric value for a test result
1609	Related Data Identification Code	ID	2	3	Code identifying the nature of data related to an application edit error condition
1610	International Dutiable Status Code	ID	2	2	Code identifying the dutiable status of an international shipment
1611	Observation Type Code	ID	2	2	Code identifying the type of observation made for which results will be reported
1612	Tissue or Specimen Disposition Code	ID	1	1	Code identifying the disposition or condition of a tissue or specimen when it was collected
1614	Sub-Location	AN	1	24	Sub-location qualifying a previously reported location
1615	Observation Distribution	AN	1	16	Identifies the distribution of an observation
1616	Observation Severity	AN	1	17	A grading that describes the severity of the observation
1617	Neoplasm Code	ID	1	1	Code identifying the description of a tumorous lesion
1618	Linkage Identifier	AN	1	4	Identifies a correlation between observations
1619	Parturition Status Code	ID	1	1	Code identifying a parturition or birth delivery status
1620	Offspring Count Code	ID	2	2	Code indicating the type of offspring count collected for a specific animal
1621	Security Version/Release Identifier Code	ID	6	6	Code indicating the version/release of the ASC X12 standard that is being used for this specific security structure. The version/release identified for this segment also applies to any corresponding trailer or security value segment. This version/release is independent of any other version/release identified in another security segment at the transaction set or functional group level. This version/release is independent of the version/release identified at the interchange or functional group level
1622	Offspring/Fetus Status Code	ID	2	2	Code indicating the offspring/fetus status
1626	Interest Rate Calculation Method Code	ID	1	1	Code identifying the type of method used to calculate the interest rate
1627	Underwriting Method Code	ID	1	1	Code identifying the method of underwriting
1629	Information Request Result Code	ID	1	1	Code identifying the type of results obtained from interview request
1630	Thoroughfare Type Qualifier	ID	1	1	Code specifying thoroughfare
1631	Thoroughfare Type Code	ID	1	1	Code identifying type of thoroughfare
1632	General Territory Code	ID	1	2	Code identifying a general location or territory
1633	Financial Statement Format Code	ID	1	1	Code identifying financial statement format
1634	Business Professional Title Code	ID	1	3	Code identifying title of an individual within a business
1635	General Property Ownership Code	ID	1	1	Code specifying general extent of property ownership
1636	Account Relationship Code	ID	1	2	Code indicating relationship or type of account an entity maintains with a vendor or financial institution
1637	Net/Gross Code	ID	1	1	Code indicating whether monetary values are net or gross
1638	Value Detail Code	ID	1	1	Code identifying extent of an amount or quantity
1642	Cryptographic Management Purpose	ID	3	3	The stated business purpose for exchanging public key on certificate information with a trading partner
1644	Service Request Code	ID	2	2	Code indicating the type of logistics service requested
1650	Shipment Status Code	ID	2	2	Code indicating the status of a shipment
1651	Shipment Status or Appointment Reason Code	ID	2	2	Code indicating the reason a shipment status or appointment reason was transmitted
1652	Shipment Appointment Status Code	ID	2	2	Code indicating the status of an appointment to pick-up or deliver a shipment
1653	Shipment Appointment Reason Code	ID	2	2	Code indicating the reason that a pick-up or delivery appointment status code was transmitted.
1654	Longitude Code	ID	7	7	Code indicating the longitude in degrees (3 positions), minutes (2 positions), and seconds (2 positions)
